epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,29481.5,1.0924,0.60251,0.99989,0.88797,0.79371,0.84615,0.54024,0.99305,0.4869,0.9787,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728,0.0157719,0.00525728
75,29942.5,1.09019,0.60089,0.99981,0.89241,0.78162,0.84423,0.54049,0.99279,0.4856,0.9785,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366,0.015461,0.00515366
76,30405,1.08367,0.59884,0.99736,0.89014,0.78171,0.84375,0.54043,0.9924,0.48657,0.97825,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,30884.7,1.08127,0.59614,0.99603,0.8923,0.78028,0.84284,0.53851,0.99245,0.48499,0.97788,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634,0.014839,0.00494634
78,31375.1,1.07297,0.59248,0.99422,0.89962,0.7739,0.84535,0.53998,0.99206,0.48492,0.97724,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272,0.0145281,0.00484272
79,31835,1.07631,0.59236,0.99529,0.86656,0.79456,0.84412,0.5409,0.98992,0.48366,0.97635,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
80,32354.7,1.07521,0.5926,0.99679,0.86535,0.79931,0.84632,0.54016,0.98936,0.484,0.97673,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579,0.0139074,0.00463579
81,32873.7,1.06859,0.58586,0.99241,0.86811,0.79305,0.84703,0.54135,0.98858,0.48248,0.97654,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258,0.0135978,0.00453258
82,33322.2,1.07534,0.59032,0.99479,0.90048,0.76829,0.84466,0.53933,0.98866,0.48275,0.9767,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
83,33748.4,1.07328,0.58351,0.99251,0.90141,0.77242,0.84739,0.54072,0.98682,0.482,0.97578,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689,0.0129807,0.00432689
84,34186.7,1.06829,0.58998,0.99304,0.90624,0.77145,0.84857,0.54041,0.98647,0.482,0.97566,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449,0.0126735,0.00422449
85,34645.4,1.06479,0.58674,0.99422,0.89241,0.77971,0.85041,0.5434,0.98509,0.48048,0.97522,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,35112.1,1.05792,0.57718,0.98788,0.9087,0.77101,0.8486,0.54235,0.9841,0.48,0.97493,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,35569.1,1.05759,0.57773,0.9881,0.89941,0.76973,0.84752,0.54168,0.98302,0.48023,0.97455,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,36021.2,1.05937,0.58123,0.98769,0.89916,0.77252,0.84907,0.54179,0.98405,0.48012,0.97485,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,36494.2,1.0501,0.57164,0.98692,0.9024,0.77251,0.8487,0.54329,0.98366,0.47978,0.97482,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,36962.4,1.05107,0.57374,0.98682,0.90545,0.77601,0.8513,0.54418,0.98423,0.47931,0.97489,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,37369.1,1.05223,0.57473,0.98694,0.9075,0.77356,0.85093,0.5437,0.98398,0.479,0.975,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,37771.8,1.04881,0.5734,0.98596,0.91176,0.77174,0.8518,0.54397,0.98494,0.47891,0.97538,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,38175.9,1.04047,0.56341,0.98176,0.90868,0.77617,0.85395,0.54496,0.98573,0.47885,0.97565,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,38581.8,1.0408,0.56422,0.9827,0.91277,0.77356,0.85352,0.54535,0.98561,0.47855,0.97558,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,38984.6,1.03578,0.56215,0.98046,0.90973,0.78331,0.85523,0.54582,0.98584,0.47854,0.9755,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,39389.5,1.03469,0.56035,0.98054,0.9019,0.78574,0.85535,0.54595,0.98629,0.47841,0.97561,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,39793,1.0327,0.56046,0.98042,0.91485,0.77949,0.85509,0.54528,0.98663,0.47815,0.97559,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
98,40193.2,1.033,0.5609,0.97867,0.91748,0.78092,0.85555,0.5451,0.98708,0.47754,0.97556,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906,0.00854717,0.00284906
99,40595.9,1.02917,0.55218,0.97812,0.91765,0.78002,0.85562,0.54618,0.98696,0.4773,0.97568,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668,0.00827005,0.00275668
100,41000.5,1.02753,0.55201,0.97609,0.91001,0.78161,0.85435,0.54682,0.98763,0.47743,0.9757,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
101,41403.1,1.03202,0.55665,0.97695,0.91343,0.78363,0.85578,0.546,0.98771,0.47753,0.97562,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
102,41802.5,1.01855,0.54582,0.97611,0.91488,0.78332,0.85631,0.54594,0.98796,0.47768,0.97558,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577,0.0074573,0.00248577
103,42206.2,1.02548,0.55044,0.97767,0.91136,0.78353,0.85649,0.54589,0.98851,0.47829,0.97581,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
104,42621.3,1.01457,0.54587,0.97253,0.90742,0.78402,0.85604,0.54587,0.98861,0.47846,0.9758,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071,0.00693214,0.00231071
105,43062.3,1.01626,0.54776,0.97566,0.90491,0.78561,0.85622,0.54605,0.9887,0.47812,0.97583,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497,0.0066749,0.00222497
106,43504.9,1.01972,0.54731,0.97417,0.90698,0.78564,0.85637,0.54637,0.98879,0.47815,0.97562,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
107,43942.6,1.01207,0.54239,0.97162,0.90717,0.78574,0.85563,0.54614,0.98887,0.47787,0.97577,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723,0.0061717,0.00205723
108,44377.3,1.01302,0.53789,0.97332,0.90381,0.78593,0.85569,0.54645,0.98885,0.47766,0.97576,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532,0.00592596,0.00197532
109,44811.9,1.00777,0.53966,0.97177,0.90241,0.78593,0.85577,0.54618,0.98878,0.4773,0.9756,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
110,45243.2,1.00243,0.53767,0.96906,0.9046,0.78603,0.85601,0.54574,0.98934,0.47741,0.97577,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557,0.0054467,0.00181557
111,45674.2,1.00853,0.53737,0.97025,0.90438,0.7863,0.85524,0.54608,0.98951,0.47761,0.97588,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378,0.00521341,0.0017378
112,46103.2,0.99823,0.53478,0.96801,0.90828,0.78583,0.85598,0.54526,0.98991,0.47757,0.97587,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
113,46530.7,0.99769,0.53181,0.96676,0.90451,0.78763,0.85483,0.54588,0.98998,0.47771,0.97579,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667,0.00476,0.00158667
114,46956.5,0.99539,0.531,0.96814,0.90675,0.78785,0.85483,0.54586,0.98983,0.47752,0.97579,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336,0.00454008,0.00151336
115,47380.4,0.99905,0.53182,0.96741,0.90918,0.78683,0.85515,0.54612,0.99018,0.47742,0.97565,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
116,47809.2,0.99086,0.52326,0.9658,0.90927,0.7857,0.85591,0.54584,0.98962,0.47722,0.97575,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143,0.0041143,0.00137143
117,48239.5,0.98869,0.52621,0.9659,0.90949,0.78717,0.85641,0.54621,0.99004,0.47723,0.9761,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287,0.00390862,0.00130287
118,48667.9,0.98622,0.52551,0.96528,0.90922,0.78716,0.85676,0.5459,0.99008,0.47747,0.97606,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
119,49104.4,0.99027,0.52738,0.96631,0.90928,0.78553,0.85699,0.54627,0.98983,0.47679,0.97606,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072,0.00351215,0.00117072
120,49545,0.98375,0.52083,0.96307,0.90903,0.78589,0.8561,0.54561,0.98997,0.47667,0.97601,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718,0.00332153,0.00110718
121,49979.3,0.98519,0.52333,0.96176,0.91175,0.78697,0.85661,0.54578,0.98985,0.47649,0.97592,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
122,50389.1,0.97799,0.51911,0.9621,0.91134,0.78732,0.85776,0.54645,0.98989,0.47636,0.97595,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311,0.00295593,0.000985311
123,50828,0.98034,0.51876,0.96293,0.91132,0.78686,0.85688,0.54537,0.99,0.47624,0.97589,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704,0.00278112,0.00092704
124,51270.7,0.97856,0.51845,0.96168,0.91029,0.7895,0.8577,0.54675,0.99001,0.47601,0.97593,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
125,51677.3,0.97837,0.5178,0.96263,0.91065,0.78996,0.85844,0.54674,0.99015,0.4761,0.97611,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947,0.00244784,0.000815947
